,class,tweetid,unprocessed_text
7817,m,1200963608538177536,_U _U _U _U And for believing their own bullshit. Probably why Limbaugh was at his peak in the OxyContin days.
5268,m,1200314653668196352,Percocets and the codeine Got me floating Opiates I’m a junkie Fuck the money
12506,c,1202316825234673665,_U oh ffs i am starting the valium now
11025,a,1201950017969373189,i took to much xanax to cry rn. magical drug.
7429,m,1200878393308393473,In other news Ike is starting tramadol tomorrow morning to see if it helps his old man hips
2865,m,1199548365576511489,Omg my mom is so rude to me/get so mad about the smallest things sometimes I have to record her. Never met anyone who needs a Xanax more
5333,m,1200343678100873216,_U u off them xanax bars but u on them opioids for ur wisdumb teeth.... 50 racks you gonna b back on alprazolam/benzo .... publicity Stunt. #respect #GetHimAOxyCake
1032,c,1199005461711872000,i realized adderall has successfully replaced the way i used caffeine beginning year two (sterling) nt
8332,a,1201086590476529664,I actually slept pretty well last night after taking twice the amount of Xanax that I take to quell a panic attack (one Xanax doesn't really help me sleep). I hope this doesn't become a regular thing. I've gotten by with only needing it once or twice a week thus far.
5726,m,1200437669693710336,"_U ""Oh, you mean quetiapine! Yes, it cures everything."""
8784,c,1201188829060837376,I took one Norco when I got my wisdom teeth out and I fell asleep so abruptly I bit my tongue like WDYM you had codeine morphine and THC how are you awake??
2762,m,1199528810326175744,_U _U Hope it works for you. Keep me informed. Strong beer and Tramadol appeal more in the meantime than that torture !!
10983,a,1201933045898579968,when you have a high percent of hydrocodone but you so use to it . you just high  & not at all sleepy&gt;&gt;&gt;
2541,c,1199349565285191681,_U no worries. i have to go to get methadone anyway. but i think we're usually on the same page about most things. ;)
5697,c,1200426122367946753,_U I didn't know what was going on I know I had twins but that's as far as it gets morphine blew my mind lol x
8396,a,1201100870391390208,im dying right now but i already took twice the maximum dose of painkillers and if i mix it with oxycontin i could overdose 😭😭
2365,m,1199262331366195200,i think the entire city of seattle is jacked up on weed and adderall at this point
8279,a,1201068426086752256,saturday nite adventures: valium and 2 endone
3816,m,1199798504669007872,_U How am I supposed to put in 17 hour work days and run from the cops if I'm taking that many Xanax?
11058,m,1201953456405319682,_U _U _U Oxycodone is an opiate also.
8893,a,1201319312532951040,taking xanax moving slowwwwwww
996,m,1198923795735744512,it's funny how my allowed one cup of coffee gets me going like vyvanse gets everyone else going..... srsly
7409,m,1200876216204574727,sou sigo sintiendome igual asi que adderall u lied to me :(
10703,m,1201870295453327362,"advice from my professor: ""study for your organic chemistry or calculus finals over this one. don't snort adderall to study for this."""
9461,m,1201455339260063744,_U u should probably learn how to spell xanax before taking it...😕
9822,m,1201648856674512898,_U _U _U His record label/ crew name ... stands for ecstasy and oxycontin
9097,c,1201366897406681088,So I let Amy stay over after Scott cheated on her and this whore of a slut took all my Xanax.
2453,a,1199280073616039936,finna pour up a script of vyvanse 70
861,c,1198836983725993986,that oxycodone really wears off after four hours. 😒
12187,m,1202232917742825473,You might consider taking up yoga & meditation & reiki & crystal healing & shiatsu & primal screaming & cucumber facials & stress balls & valium & siestas & lounging & navel gazing & whale sound compositions?  idk how your head hasn't already imploded from such gung-ho intensity
3824,m,1199799229927034884,How do ppl function on seroquel?
7082,m,1200775050527477761,"This whole abusing xanax, an anti-panic medication, while not diagnosed with shit, for some garbage-ass aesthetic, needs to fucking stop."
5459,m,1200379532261412864,"""that girl is bobbin for apples at the methadone clinic every day"" ***me; really thinking they have the game bob for apples 🍎"
781,m,1198760828247400454,Right up until the point where they lack the math skills to convert fentanyl micrograms into milligrams for their fake Percocet/Vicodin/Oxy/morphine pills and people die.
6862,c,1200722248182702080,was running late for work and forgot to take my adderall fuck
8956,u,1201338685360394240,gyring up dolophine airlines appropriate to schematized so profit alter ego: vpzcrprs
9677,m,1201504305771163648,I'm sure Valium was a Christmas inspired discovery.
7587,m,1200908287014789121,"I just wish she could get answers. This has happened once a month the past 2 months now. Last month was constpation, but not sure this month. They gave her morphine and a strong anti nausea shot."
3366,c,1199653326553600001,tf when u mean to take two klonopin 4 stress b4 bed but u accidentally take two ritalin and now ur anxious and wide awake
9663,c,1201498637546721282,"_U _U How the fuck could he even get on his bike with the tramadol? I've only taken it once,for post-op pain relief and i was on a different planet."
3069,m,1199596378135158784,_U i don't mean to tell you what to do but remind that latuda or abilify really help neutralize the sad. #happycunt
543,m,1198473334238920704,_U _U and if you'd got morphine like i said you could've been out. teach you not to listen 😁
6233,c,1200564765124415488,"the waitress told me good morning, and i said it's good because i finally slept without using anesthesia and i took my 800mg of klonopin :)"
5803,c,1200458556966916098,i'm tapering off klonopin and it's a slower/more unpleasant process than i expected
2579,m,1199492388739338241,"Family confirm british national Laura Plummer,33, is sentenced to 3 years in jail in #Egypt - she was arrested for bringing Tramadol into the country"
10784,c,1201882786212257792,"so...  i'm mildly allergic to morphine.  hydrocodone, which they gave me for my teeth, is a morphine derivative. never had a problem before."
2660,c,1199509268191465472,i love that my damn seroquel (literally a tranquilizer for psychosis) can't put me to sleep when i have a fibromyalgia flair up like damn
5316,m,1200341935912869889,"the parking lot of the methadone clinic across from my work, is far more entertaining than any series on netflix right now."
1397,m,1199068750051528705,"Once again these overdose deaths are from illicit drugs and or street drugs. Not prescribed opiates. I’ve been interviewing in some clinics  (methadone) and the overall % interviews tell me if they started from opiates it was bought,stolen,given but very few Rec’d opiates from Rx"
13079,c,1202484857236049920,i don't take xanax anymore but i could really use one rn
1194,m,1199030815700738050,did someone slip an adderall in my coffee or what
2029,m,1199194596305063936,you’re just a kid smoking cigarettes the adderall is drenched in alcohol so let you’ll let your lungs fill up with the comfort of smoke
8293,u,1201069824283164677,keep calm and listen to morphine
9425,m,1201451502272954368,"_U want to crack down opioids go after big pharma, stop selling oxycontin and make harsher punishments for herion users"
183,c,1198301734801739776,"Surgeon said pain may last 11 more months & referred me 2 another #chronicpain specialist & on a new drug, Lyrica. Making progress@ least"
115,m,1198295820522721281,"seroquel is crazy prescribed to people with no history of psychosis, but history of homelessness, trauma, substance use, other mental health"
10026,c,1201713408825069574,I don't have enough Ativan for that. I can't take itttt 😩 RT _U: This game is gonna get into the 40s
2951,c,1199566292375789568,"_U _U now, so now I'm on six a day was 3, no 2mg now, my methadone Dr. has to ring medicare every 30 days for 180 more"
7410,m,1200876301118300167,"_U _U Perhaps you should take a Valium. You’re going to blow an artery. So if Canada was obligated hto “protect” khadr, was it not then obligated to protect 2 non criminal journalists in the Philippines?"
4688,c,1200011536196079617,_U _U ...to get a doctor's appointment. Nothing available for weeks on end. Grr! I'll be reet. Should get morphine today 😁 xx
7424,c,1200877875962040321,You know the pain is bad when a morphine drip gives you zero relief.
8303,c,1201079454124199936,Afta taken tramadol 600mg & Agbara bitter 7 man power..Den my phone rings. Gal:Bby I can't make it today. Me:You will never make it in life😒
4301,u,1199945748361744385,#LHHH lyrica looked up like bitch what
9756,m,1201521393780895744,"A letra de Never Be The Same mudou de ""just like nicotine, heroin, morphine"" para “just like nicotine, pushing me  touching me”"
3384,c,1199655107266273280,Also this hydrocodone is 👌
5087,a,1200264449539620864,"Note to self, Xanax plus alcohol do not mix at all."
9415,m,1201450598165553152,"_U just thinking as I watch your fine show, Janice Dean is standing way too close to the edge of the cliff. Give her a Valium"
6035,u,1200518682604187649,"_U Hi there and Howdy! - Jim Neill playing ""Prince Valium"" on WRSI right now! Sounds great."
4272,m,1199934288898252800,i'm bout to start selling smarties and telling mfs it's a new xanax pill
10258,u,1201759391101390848,GODDDDDDDDD LYRICA AND VIRGINA KISSING IS WHAT WE ALL DESERVE THEY'RE SUCH SNACKS
4186,m,1199912817282945029,_U Taking tramadol
10764,a,1201880771365101574,"Pulling an all nighter without adderall i feel like a real adult :,)"
6143,m,1200543006375452673,"_U sounds like you could benefit from the miracle properties of desoxyn (actual pharm meth) or, if youre a pussy, good ole adderall"
8674,a,1201164133971976192,vyvanse & a monster consumed within the same hour.. uhh oops 😳
7267,m,1200819280037732353,"_U Dear Mr. President.  I am a veteran with diabetes. Could you find out why the VA does not offer the latest FDA approved drugs for diabetes like Victoza, Trulicity and Lyrica, etc.?  Veterans should have access to all FDA approved drugs.  Thank you and keep MAGA"
3154,a,1199614089917587462,the amount of times a day i say i need adderall a getting too high
2268,m,1199243079561158662,_U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U How about Lyrica that’s used for foot nerve pain in diabetics.
4733,a,1200024212968222720,"let a visiting french girl stay at my place while i'm dog sitting. she texts me that she's leaving & ""i left you a surprise"". i was like cool, must be weed. got home & she did indeed leave weed... along with 5 mdma pills & a xanax, are all french people this extra???"
12391,m,1202287520647729160,_U Xanax got him
3484,m,1199728928732188672,my dads stoned off of valium and lost in the hospital
2413,m,1199275985071419392,"_U if two tramadol and two codeine don't shift it then girl you need some serious pain relief, ask your doc for temgesic x"
3551,m,1199744652640960514,"_U Come to Santa Monica, where you can visit random non-franchise pharmacies and Adderall abounds"
9866,m,1201674882091823105,_U _U No ones gonna likely overdose and die from Xanax it’s nearly impossible. If it’s laced with fentanyl then yes you can die.
12814,m,1202390266105257986,_U ali as after his first xanax
7073,c,1200773907478958081,adderall at 1 pm is never a good idea when you want to sleep at a normal time. #hyped #cantsleep #killmenow
8660,a,1201162759053938688,the last time i took valium i felt like i was spinning every time i closed my eyes. it was interesting
10197,a,1201744193774915586,on so much adderall i'm going to be up for the next three days
5681,m,1200424345346158594,"is xanax like the new ""cool"" drug ppl be doing now or what?"
11504,u,1202083774164545536,Lyrica pretty to but her hair be fucked up 🤦🏽‍♂️
11540,c,1202087390283751425,and i'm really tired of doctors treating me like i'm unreasonable to want better. i'm not drug seeking or asking for miracles. but tramadol
9658,m,1201498213133537281,i need to many klonopin
11122,c,1201968551516626946,Feeling very uneasy in the library right now either because the adderall just hit me or because this very cute girl sat next to me  Hmmm probably both
9797,m,1201525773926055937,_U _U But do they contain Xanax...
1715,c,1199135462453067776,"To find the right cocktail of meds & dosage are hard. Dah try byk sampai tak igt dah combination meds&dosage nya. Pernah try zoloft, seroquel, seroquel xr, xanapam, lithium, lorazepam, midazolam, escitalopram. Now on epilim chrono only (1.5 gram). So far it seems working for me."
2457,c,1199280593562984449,_U They gave me Valium or something when I had mine so it didn’t seem that bad. But just the thought of the procedure makes me cringe.
11785,c,1202147310635016193,_U try valium it works wonders
7674,a,1200926264829337601,*Snorts valium to prevent sexual frustration*
2102,c,1199210739279511552,"_U _U _U Thanks Kate, I've been given morphine so it's not that bad at the mo 😊"
2584,m,1199492939782721538,"I wanna die like a rich boy, diving / in a hydrocodone dream You can die like a rich girl by me, oh how the magazines will read I’ll die like a rich boy bathing / in a milk bath I could drown Wanna die like a rich boy / even if we’re as poor as we are now"
12746,m,1202366820738572296,1 more thing: interview raises point that there is no limit for prescribing opiates for pain but limit on buprenorphine for treatment
2005,c,1199191859551191040,_U Lol no and they're giving me morphine will I still be normal??
6980,a,1200754697252098049,i had 10 patrons & 2 shots of hennessy l. & 3 codeine pills & 1 tramadol. no more alcohol for me until saturday. 😷🌚
12530,m,1202319313534935040,"_U ""Science"" student. Unna don take unna tramadol. Prodigal."
2095,c,1199201474087129088,i've been having to take xanax some nights for my anxiety again and it sucks
11646,m,1202111709634289664,_U that will happen when you're on adderall
434,u,1198463738162110465,"Lyrica comes off insecure as hell, like are you mad that another female artist will take your position, and do it better 💯💯#LHHH"
11669,c,1202114337705472001,"I kind of  want to go off Seroquel because I frequently experience stomach aches :/ also, lately my moods have been all over the place so"
10299,a,1201767856129630208,"i don't care how you feel, i gotta 1000 morphine pills to drop off in tuscon, let the top back..."
11853,a,1202163111760973825,lorazepam + promethazine = 2 lit
3838,m,1199800763226247168,cons of vyvanse: school shit gets done.
7388,c,1200861559989448707,"Paxil, OxyContin, clonazepam for breakfast but no protein - I really need sex"
11834,m,1202160925123514368,"_U you're caps lock is broken, go pop a valium and take a nap"
9332,c,1201429345899876352,"_U I was on lorazepam 4mg as needed, made a big difference, ask doc about anxiety meds"
1292,c,1199049583466360833,_U Just had knee replacement. Oxycodone and Tramadol aren't cutting for pain. Suggestions?
7684,m,1200927299606110209,oh mah gahd. christmas's morphine must be strong. why you voting for ramses girl??? #bb19
11814,c,1202158700930179075,My anxiety is super dooper bad tonight and I haven't unpacked Valium tablets since the move and ugh I don't know what to do 😭😭
995,m,1198923467271417856,adderall is meth guyz.
6078,m,1200527555859746816,Medical Morphine Market Size to Reach USD 13.32 Billion by 2024: Hexa Research
3734,m,1199781548163244032,"typically depend on an explosive scorer or two -- fortunately they have a few -- making individual plays but are vulnerable on counters. Anyway, time to pop a few Xanax and pray."
8210,a,1201060366484148227,i wanna pop a xanax but then i'm gonna sleep til tuesday & na...
4221,c,1199928669319389185,_U morphine isn't even that good compared to what they gave me
513,m,1198470705484091393,"RIP Lil Peep....mfs need to get off xanax, they do you nooooo good 😑💔"
1796,c,1199144362455764992,at least i still have my good friend diazepam to help me cope
4400,m,1199964455628656640,Goddam millennials with their Xanax and Pokémon
4763,c,1200027430058123264,"i don't understand how i can take a 60mg vyvanse & it induce me to take a nap the rest of the day, i cannot be human. wasted my entire day."
2010,c,1199192385504337920,I accidentally took an extra Metformin (took one 3hrs prior) last night before going to bed with Gabapentin. Felt super ugh in the morning
8010,c,1201017446230102016,"There is not enough Valium in the world for riding as passenger while teaching my 15 yr old daughter to drive.  Guys, she’s really bad. I probably didn’t need to bleach my hair, I’m sure it’s totally white now."
4785,m,1200096152517042177,this girl was actually decent looking until she started relying on xanax as an every day drug lmfao
9104,c,1201376202243657728,"Hello Valium, my old friend.  I’ve come to eat you up again."
4951,a,1200168242557464576,nigga it's 420 everyday. dabs in the am vyvanse for the work day and late night then some more medication for sleeping. my daily routine.
9354,m,1201431536698036224,"_U Had to lmao that extension , the injury , and no adderall we need the old joe"
11603,m,1202102918310174720,"_U if i really had to go with one, id say morphine tbh"
12950,a,1202457971416076288,you know how tramadol makes normal people feel drowsy??? nope not me. feel like i'm tripping 😂
86,c,1198293351633760257,_U I truly believe the same I was on Fentnyl which is a synthetic heroin and I’m on morphine for chronic pain now Mr Sessions attacks a natural drug God put on this planet that could help me Cancer patients it’s ridiculous the Government needs to wake up
1808,m,1199154022638407680,"""_U: adderall got me noticing everything, like the fact that i shoulda been cut ur ass off""wutttt"
9613,m,1201493191981248514,weigand: the longer an opioid dependent patient stays on methadone the less the criminality and relapse #eapcct16
1594,m,1199105820140691457,Have you urinated today?You probably have Melancholia.This causes inability to function.Try Methadone
8306,c,1201083979337814016,"_U bum.  i was worried about mania on them, but i think the biffiness is going to be worse, especially coupled with quetiapine."
2690,c,1199512763867025408,Forgot my Pregabalin 🙄  Basically means that this afternoon I'll have similar pains in my face to when you're at the dentist and they touch a nerve in your tooth.  FML
6020,c,1200517107575853067,_U I used to take too high of a dose of Abilify and even taking it at night (which usually can help with not experiencing too much drowsiness) i was like sleeping through multiple alarms in the morning and couldnt be awake like more than 3 hours at a time
2356,m,1199261302654410753,i gave that bitch a xanax. bitches love xanax 😄
10992,m,1201934092801060869,_U adderall is for the weak minded
12520,m,1202318404834799617,"_U ""When the morphine kicks in"""
12528,m,1202319172803481601,"All Trump trash cultists have left are daft hypotheticals/hypocrisies, a fast-dying religion (Christianity,) delusional pipedreams, and often a wicked OxyContin habit— what you expect from this high school drop-out sludge?  (I feel sorry for them but only wish them the worst.)"
10098,m,1201721017829412864,_U _U try oxycodone
4215,a,1199924254025928705,_U valium makes me loopy 😂😂
11557,c,1202089451264118784,it's okay adderall i didn't want to sleep anyways
10042,m,1201715240427282439,"_U Fibromyalgia?  May a pharmacist (me) suggest a rule-out method which may alleviate some/all of your pain? Very safe, MAY be helpful, may not, but low cost and I've had some patients have astonishingly positive results, even getting off of Gaba/Lyrica."
10650,c,1201856244295852033,I am still dying in the waiting room. Did you know that valium can only make you feel slightly less stressed but not cozy if your base stress is high enough?
12076,m,1202208002138411009,_U buy a bottle of valium
10840,a,1201904878735560706,imma take this adderall and go dummyyy tonight
12429,m,1202299688004804608,"My mom has been on Percocet for 10 yrs & Oxycontin for 5 yrs for her severe chronic pain from working 40 yrs & lifting heavy items.   They have now cut her off from Percocets which are her “break through” pills, so she doesn’t have to take multiple Oxys. How is this helping?"
12665,m,1202346001366958083,Have those who say laughter is the best medicine tried morphine?
11542,a,1202087711202586624,i found an adderall from 10 years ago in my bedroom and it's working lol
7385,m,1200861120497700865,Oxycontin..  has an old friend in Fantasyland  😬
12156,m,1202229705723850754,"_U Oh c'mon, that's Knudepunkt but on valium and with business cards..."
6861,m,1200722188359421952,"_U Try asking for pregabalin, that's the generic formulation of Lyrica."
1634,m,1199118249159483397,_U Though watching #SWESUI is probably more effective than valium for calminf nerves. I actually nodded off in the 1st half. Enjoy tonight #ENG V #COL
8454,a,1201115896644812800,_U and some xanax .n percocet lol
9749,m,1201520639582130178,have difficulty making decisions?yes?you suffer from melancholia.this causes denial.try methadone
12567,m,1202327520978309121,just got verbally assaulted over oxycodone 🙃 i'm bout to go home lmao
9823,m,1201648970893844481,_U _U Williamson hates Trump and Trump supporters and suggested that the latter needed to die off from OxyContin due to moral hazard or something. Death to whomever is kind of a theme with Williamson
4255,a,1199932556306763776,_U Oh still great behavior you’re encouraging just like making kwiz snort her first Xanax supplied by you but wait you’re still a good person because you haven’t done it since June even though I’ve never done one I’m the devil -kat
356,m,1198456740427313152,_U sebab during acute episode kita bagi morphine. morphine tends to induce vomitting.
12125,m,1202226062975000576,"_U opioids are mostly used as painkillers buddy, like morphine and codeine and so on :)"
6397,c,1200603339781750784,adderall got me not sleeping fml
11727,c,1202129345965375488,we're getting bad thunder storms so i'm taking a xanax and going to bed
10427,m,1201810214095331328,"_U This!She didnt cheat on anyone, bang anyone's bf or throw a tantrum while blackout drunk on xanax. Watching herself gush about the guy who broke her ❤ is punishment enough. Can we just move on?!!"
719,m,1198716430285447169,"Can you take 2mg of xanex and  (Zoloft)fluoxetine (Prozac, Sarafem)citalopram (Celexa)escitalopram (Lexapro)paroxetine  for years like these kids compounded with negative influences from every direction and growing destitution after high school wont result in extreme behavior"
6272,m,1200569275695747075,"_U and for fathers of two teenage daughters, a bottle of xanax"
1720,m,1199135962309238784,Hillary hittin that Xanax hard right now.
11883,a,1202166437307199488,gotta stop poppin these pills... xanax
4555,c,1199988967627722752,i swear adderall makes you get everything done😂😂
7918,a,1200995003079757824,i'd really like some cymbalta and adderall... not prescribed to me ofc.
9152,a,1201381298025177094,apparently people say i sell xanax but have no proof lolololol yeah i sell thousands of dollars worth of xanax to the fucking pope lol
5195,c,1200285612982620162,it's really bad man the only reason im even functioning at all right now is because ive got ear plugs in both my ears and i took two ativan. if this doesn't settle down im going to lose my mind.
10618,c,1201852599693131779,"_U Seroquel is GREAT. A lot of the atypicals are. They're 100% worth it, and I only stopped because I was sleeping -so much-. My movement disorder was unrelated, and Seroquel didn't affect it one way or the other, but there are early signs to stop, and then they go away."
4435,m,1199967924171280384,_U Don't watch the videos and take the valium they offer you right before the procedure.  I had it done 8 years ago after wearing glasses for 35+ years and it was the best experience.  Waking up the next morning being able to see 20/15 with no glasses was amazing.
576,m,1198475929393205248,_U why is your stage name “Lil Xan” if you’re against Xanax? that makes no sense
